 trade_date |   symbol   | market_cap_category | mtf_amount_cr | avg_mtf_cr | stddev_mtf_cr | z_score |       shocker_type        | deviation_from_avg_cr 
 2025-12-19 | SENSEXIETF | Small-High          |          3.79 |       4.56 |          0.32 |   -2.41 | High Negative Shocker     |                 -0.77
 2025-12-19 | CEATLTD    | Small-High          |         62.26 |      65.03 |          1.16 |   -2.39 | High Negative Shocker     |                 -2.77
 2025-12-19 | FORCEMOT   | Small-High          |         90.70 |      96.86 |          2.59 |   -2.38 | High Negative Shocker     |                 -6.16
 2025-12-19 | JAYNECOIND | Small-Low           |         40.62 |      44.96 |          1.62 |   -2.68 | High Negative Shocker     |                 -4.34
 2025-12-19 | PRSMJOHNSN | Small-Low           |         20.96 |      21.17 |          0.08 |   -2.61 | High Negative Shocker     |                 -0.21
 2025-12-19 | BBOX       | Small-Low           |         60.94 |      54.12 |          2.64 |    2.58 | High Positive Shocker     |                  6.82
 2025-12-19 | GREENLAM   | Small-Low           |          2.19 |       2.27 |          0.03 |   -2.56 | High Negative Shocker     |                 -0.08
 2025-12-19 | EPIGRAL    | Small-Low           |         45.33 |      44.78 |          0.22 |    2.50 | High Positive Shocker     |                  0.55
 2025-12-19 | NIITMTS    | Small-Low           |          2.91 |       3.19 |          0.11 |   -2.50 | High Negative Shocker     |                 -0.28
 2025-12-19 | ORKLAINDIA | Small-Low           |          1.86 |       0.77 |          0.44 |    2.49 | High Positive Shocker     |                  1.09
 2025-12-19 | PDSL       | Small-Low           |         17.94 |      16.67 |          0.51 |    2.48 | High Positive Shocker     |                  1.27
 2025-12-19 | KPIGREEN   | Small-Low           |        122.20 |     109.79 |          5.04 |    2.46 | High Positive Shocker     |                 12.41
 2025-12-19 | LOTUSDEV   | Small-Low           |         38.88 |      42.50 |          1.47 |   -2.46 | High Negative Shocker     |                 -3.62
 2025-12-19 | RISHABH    | Micro-Low           |          0.17 |       0.13 |          0.01 |    4.24 | High Positive Shocker     |                  0.04
 2025-12-19 | BHARATSE   | Micro-Low           |          0.72 |       0.76 |          0.01 |   -3.91 | High Negative Shocker     |                 -0.04
 2025-12-19 | TIL        | Micro-Low           |          0.09 |       0.02 |          0.02 |    3.33 | High Positive Shocker     |                  0.07
 2025-12-19 | KOVAI      | Micro-Low           |          0.00 |       0.03 |          0.01 |   -3.00 | High Negative Shocker     |                 -0.03
 2025-12-19 | RSWM       | Micro-Low           |          5.56 |       5.53 |          0.01 |    2.98 | High Positive Shocker     |                  0.03
 2025-12-19 | AGIIL      | Micro-Low           |         42.95 |      40.56 |          0.84 |    2.84 | High Positive Shocker     |                  2.39
 2025-12-19 | GUJTHEM    | Micro-Low           |         45.37 |      56.07 |          3.85 |   -2.78 | High Negative Shocker     |                -10.70
 2025-12-19 | ARISINFRA  | Micro-Low           |          8.28 |       7.06 |          0.44 |    2.78 | High Positive Shocker     |                  1.22
 2025-12-19 | BSE500IETF | Micro-Low           |          2.16 |       2.27 |          0.04 |   -2.78 | High Negative Shocker     |                 -0.11
 2025-12-19 | PLATIND    | Micro-Low           |         14.32 |      13.77 |          0.20 |    2.77 | High Positive Shocker     |                  0.55
 2025-12-19 | SHARDACROP | Unknown             |         25.36 |      29.42 |          3.32 |   -1.22 | Moderate Negative Shocker |                 -4.06
 2025-12-18 | POWERGRID  | Large-High          |        223.91 |     216.68 |          2.97 |    2.44 | High Positive Shocker     |                  7.23
 2025-12-18 | APOLLOHOSP | Large-High          |        205.00 |     196.71 |          4.39 |    1.89 | Moderate Positive Shocker |                  8.29
 2025-12-18 | SUNPHARMA  | Large-High          |         70.72 |      62.86 |          4.27 |    1.84 | Moderate Positive Shocker |                  7.86
 2025-12-18 | HDFCAMC    | Large-High          |        107.60 |     116.93 |          5.56 |   -1.68 | Moderate Negative Shocker |                 -9.33
 2025-12-18 | WIPRO      | Large-High          |        122.69 |     133.52 |          6.51 |   -1.66 | Moderate Negative Shocker |                -10.83
 2025-12-18 | TECHM      | Large-High          |        130.53 |     143.46 |          7.90 |   -1.64 | Moderate Negative Shocker |                -12.93
 2025-12-18 | TCS        | Large-High          |        862.72 |     915.92 |         33.66 |   -1.58 | Moderate Negative Shocker |                -53.20
 2025-12-18 | UNIONBANK  | Large-High          |        186.58 |     205.82 |         12.35 |   -1.56 | Moderate Negative Shocker |                -19.24
 2025-12-18 | BAJAJFINSV | Large-High          |        172.08 |     160.50 |          7.57 |    1.53 | Moderate Positive Shocker |                 11.58
 2025-12-18 | ASHOKLEY   | Large-High          |         40.15 |      49.79 |          6.36 |   -1.52 | Moderate Negative Shocker |                 -9.64
 2025-12-18 | PAYTM      | Large-Low           |        163.55 |     149.52 |          6.75 |    2.08 | High Positive Shocker     |                 14.03
 2025-12-18 | POWERINDIA | Large-Low           |        127.00 |     118.50 |          4.57 |    1.86 | Moderate Positive Shocker |                  8.50
 2025-12-18 | UNOMINDA   | Large-Low           |         54.01 |      52.88 |          0.62 |    1.82 | Moderate Positive Shocker |                  1.13
 2025-12-18 | SHREECEM   | Large-Low           |         60.32 |      54.07 |          3.45 |    1.81 | Moderate Positive Shocker |                  6.25
 2025-12-18 | LLOYDSME   | Large-Low           |        512.27 |     314.27 |        113.19 |    1.75 | Moderate Positive Shocker |                198.00
 2025-12-18 | LTF        | Large-Low           |        112.00 |     107.11 |          3.56 |    1.37 | Moderate Positive Shocker |                  4.89
 2025-12-18 | RECLTD     | Large-Low           |        811.02 |     832.50 |         16.08 |   -1.34 | Moderate Negative Shocker |                -21.48
 2025-12-18 | UTINIFTETF | Large-Low           |          0.24 |       0.31 |          0.05 |   -1.34 | Moderate Negative Shocker |                 -0.07
 2025-12-18 | ABCAPITAL  | Large-Low           |         88.95 |      79.68 |          7.27 |    1.28 | Moderate Positive Shocker |                  9.27
 2025-12-18 | MAZDOCK    | Large-Low           |       1142.47 |    1166.41 |         19.40 |   -1.23 | Moderate Negative Shocker |                -23.94
 2025-12-18 | ALKEM      | Mid-High            |         12.13 |      11.40 |          0.37 |    1.98 | Moderate Positive Shocker |                  0.73
 2025-12-18 | TIINDIA    | Mid-High            |         83.58 |      81.27 |          1.27 |    1.82 | Moderate Positive Shocker |                  2.31
 2025-12-18 | FORTIS     | Mid-High            |        142.76 |     139.26 |          2.18 |    1.60 | Moderate Positive Shocker |                  3.50
 2025-12-18 | INDUSINDBK | Mid-High            |        253.00 |     247.23 |          3.62 |    1.59 | Moderate Positive Shocker |                  5.77
 2025-12-18 | GICRE      | Mid-High            |         85.31 |      83.95 |          0.92 |    1.48 | Moderate Positive Shocker |                  1.36
 2025-12-18 | IOB        | Mid-High            |        134.18 |     129.49 |          3.16 |    1.48 | Moderate Positive Shocker |                  4.69
 2025-12-18 | NIFTYBEES  | Mid-High            |        171.57 |     159.78 |          8.80 |    1.34 | Moderate Positive Shocker |                 11.79
 2025-12-18 | ABBOTINDIA | Mid-High            |         44.59 |      45.16 |          0.46 |   -1.24 | Moderate Negative Shocker |                 -0.57
 2025-12-18 | LAURUSLABS | Mid-High            |        380.96 |     368.43 |         10.17 |    1.23 | Moderate Positive Shocker |                 12.53
 2025-12-18 | APLAPOLLO  | Mid-High            |         43.59 |      46.53 |          2.50 |   -1.18 | Moderate Negative Shocker |                 -2.94
 2025-12-18 | 360ONE     | Mid-Low             |         27.33 |      30.52 |          1.82 |   -1.75 | Moderate Negative Shocker |                 -3.19
 2025-12-18 | VOLTAS     | Mid-Low             |         44.02 |      49.08 |          3.06 |   -1.65 | Moderate Negative Shocker |                 -5.06
 2025-12-18 | BLUESTARCO | Mid-Low             |         32.87 |      38.35 |          3.73 |   -1.47 | Moderate Negative Shocker |                 -5.49
 2025-12-18 | AJANTPHARM | Mid-Low             |         13.45 |      14.33 |          0.62 |   -1.42 | Moderate Negative Shocker |                 -0.88
 2025-12-18 | CHOLAHLDNG | Mid-Low             |         18.78 |      15.69 |          2.20 |    1.41 | Moderate Positive Shocker |                  3.09
 2025-12-18 | AWL        | Mid-Low             |        102.70 |     101.38 |          0.94 |    1.40 | Moderate Positive Shocker |                  1.32
 2025-12-18 | KPITTECH   | Mid-Low             |        192.47 |     188.03 |          3.20 |    1.39 | Moderate Positive Shocker |                  4.44
 2025-12-18 | SONACOMS   | Mid-Low             |         90.47 |      93.11 |          1.92 |   -1.38 | Moderate Negative Shocker |                 -2.64
 2025-12-18 | PGHH       | Mid-Low             |         10.14 |      11.11 |          0.78 |   -1.25 | Moderate Negative Shocker |                 -0.97
 2025-12-18 | UBL        | Mid-Low             |         38.98 |      37.32 |          1.34 |    1.24 | Moderate Positive Shocker |                  1.66
 2025-12-18 | JYOTICNC   | Small-High          |         75.01 |      73.22 |          0.71 |    2.52 | High Positive Shocker     |                  1.79
 2025-12-18 | GABRIEL    | Small-High          |         19.32 |      21.84 |          1.00 |   -2.52 | High Negative Shocker     |                 -2.52
 2025-12-18 | THANGAMAYL | Small-High          |          5.95 |       5.12 |          0.38 |    2.18 | High Positive Shocker     |                  0.83
 2025-12-18 | UTIAMC     | Small-High          |         39.99 |      38.69 |          0.62 |    2.09 | High Positive Shocker     |                  1.30
 2025-12-18 | KIOCL      | Small-High          |          3.49 |       3.39 |          0.05 |    1.94 | Moderate Positive Shocker |                  0.10
 2025-12-18 | HBLENGINE  | Small-High          |        421.54 |     406.95 |          7.89 |    1.85 | Moderate Positive Shocker |                 14.59
 2025-12-18 | FIRSTCRY   | Small-High          |         94.35 |      97.08 |          1.50 |   -1.82 | Moderate Negative Shocker |                 -2.73
 2025-12-18 | NUVOCO     | Small-High          |         38.02 |      39.65 |          0.90 |   -1.81 | Moderate Negative Shocker |                 -1.63
 2025-12-18 | NUVAMA     | Small-High          |         63.50 |      74.07 |          6.04 |   -1.75 | Moderate Negative Shocker |                -10.57
 2025-12-18 | STARHEALTH | Small-High          |         45.86 |      48.12 |          1.32 |   -1.71 | Moderate Negative Shocker |                 -2.26
 2025-12-18 | KIRLPNU    | Small-Low           |         18.03 |      17.25 |          0.32 |    2.43 | High Positive Shocker     |                  0.78
 2025-12-18 | ETHOSLTD   | Small-Low           |          6.76 |       6.45 |          0.15 |    2.09 | High Positive Shocker     |                  0.31
 2025-12-18 | GRINFRA    | Small-Low           |          9.75 |       9.83 |          0.04 |   -2.05 | High Negative Shocker     |                 -0.08
 2025-12-18 | MAHLIFE    | Small-Low           |         41.58 |      41.47 |          0.06 |    1.86 | Moderate Positive Shocker |                  0.11
 2025-12-18 | PRICOLLTD  | Small-Low           |         19.94 |      23.03 |          1.68 |   -1.84 | Moderate Negative Shocker |                 -3.09
 2025-12-18 | CAMPUS     | Small-Low           |         25.16 |      24.63 |          0.29 |    1.84 | Moderate Positive Shocker |                  0.53
 2025-12-18 | CRAMC      | Small-Low           |          3.64 |       6.19 |          1.41 |   -1.81 | Moderate Negative Shocker |                 -2.55
 2025-12-18 | MTARTECH   | Small-Low           |         72.82 |      67.15 |          3.19 |    1.78 | Moderate Positive Shocker |                  5.67
 2025-12-18 | ATLANTAELE | Small-Low           |          6.68 |       4.12 |          1.46 |    1.75 | Moderate Positive Shocker |                  2.56
 2025-12-18 | JUNIORBEES | Small-Low           |         76.72 |      73.60 |          1.86 |    1.68 | Moderate Positive Shocker |                  3.12
 2025-12-18 | IFBAGRO    | Micro-Low           |          2.47 |       2.52 |          0.02 |   -2.66 | High Negative Shocker     |                 -0.05
 2025-12-18 | DHAMPURSUG | Micro-Low           |         12.94 |      13.17 |          0.09 |   -2.51 | High Negative Shocker     |                 -0.23
 2025-12-18 | CHOICEGOLD | Micro-Low           |          0.03 |       0.01 |          0.01 |    2.37 | High Positive Shocker     |                  0.02
 2025-12-18 | STANLEY    | Micro-Low           |          3.57 |       3.48 |          0.04 |    2.35 | High Positive Shocker     |                  0.09
 2025-12-18 | GNA        | Micro-Low           |          5.73 |       5.54 |          0.08 |    2.33 | High Positive Shocker     |                  0.19
 2025-12-18 | GTLINFRA   | Micro-Low           |          1.13 |       1.22 |          0.04 |   -2.27 | High Negative Shocker     |                 -0.09
 2025-12-18 | ITETF      | Micro-Low           |          1.25 |       1.16 |          0.04 |    2.22 | High Positive Shocker     |                  0.09
 2025-12-18 | JKIPL      | Micro-Low           |          0.08 |       0.04 |          0.02 |    2.18 | High Positive Shocker     |                  0.04
 2025-12-18 | RSWM       | Micro-Low           |          5.51 |       5.53 |          0.01 |   -2.17 | High Negative Shocker     |                 -0.02
 2025-12-18 | ALLTIME    | Micro-Low           |          4.74 |       4.85 |          0.05 |   -2.14 | High Negative Shocker     |                 -0.11
 2025-12-18 | SHARDACROP | Unknown             |         25.18 |      29.42 |          3.32 |   -1.28 | Moderate Negative Shocker |                 -4.24
 2025-12-17 | CIPLA      | Large-High          |        126.76 |     109.78 |          7.14 |    2.38 | High Positive Shocker     |                 16.98
 2025-12-17 | MAXHEALTH  | Large-High          |        138.12 |     130.42 |          3.83 |    2.01 | High Positive Shocker     |                  7.70
 2025-12-17 | ULTRACEMCO | Large-High          |        217.29 |     204.71 |          6.72 |    1.87 | Moderate Positive Shocker |                 12.58
 2025-12-17 | CANBK      | Large-High          |        259.86 |     279.53 |         10.79 |   -1.82 | Moderate Negative Shocker |                -19.67
 2025-12-17 | ADANIPORTS | Large-High          |        224.94 |     219.33 |          3.80 |    1.48 | Moderate Positive Shocker |                  5.61
 2025-12-17 | VEDL       | Large-High          |        852.55 |     702.24 |        105.25 |    1.43 | Moderate Positive Shocker |                150.31
 2025-12-17 | NESTLEIND  | Large-High          |         69.48 |      68.15 |          0.95 |    1.40 | Moderate Positive Shocker |                  1.33
 2025-12-17 | HDFCLIFE   | Large-High          |         55.44 |      52.58 |          2.06 |    1.39 | Moderate Positive Shocker |                  2.86
