 trade_date |   symbol   | market_cap_category | mtf_amount_cr | avg_mtf_cr | stddev_mtf_cr | z_score |       shocker_type        | deviation_from_avg_cr 
 2025-12-17 | UNIONGOLD  | Micro-Low           |          0.42 |       0.06 |          0.13 |    2.76 | High Positive Shocker     |                  0.36
 2025-12-17 | MEGASOFT   | Micro-Low           |          0.00 |       0.19 |          0.08 |   -2.38 | High Negative Shocker     |                 -0.19
 2025-12-17 | LIBERTSHOE | Micro-Low           |          0.97 |       1.06 |          0.04 |   -2.13 | High Negative Shocker     |                 -0.09
 2025-12-17 | SETF10GILT | Micro-Low           |          0.03 |       0.01 |          0.01 |    2.11 | High Positive Shocker     |                  0.02
 2025-12-17 | GANECOS    | Micro-Low           |         19.27 |      19.85 |          0.28 |   -2.06 | High Negative Shocker     |                 -0.58
 2025-12-17 | UTIBANKETF | Micro-Low           |          0.18 |       0.14 |          0.02 |    2.05 | High Positive Shocker     |                  0.04
 2025-12-17 | HDFCPSUBK  | Micro-Low           |          0.37 |       0.35 |          0.01 |    2.03 | High Positive Shocker     |                  0.02
 2025-12-17 | SANDHAR    | Micro-Low           |         23.99 |      23.29 |          0.35 |    2.00 | High Positive Shocker     |                  0.70
 2025-12-17 | TBZ        | Micro-Low           |          7.64 |       7.44 |          0.10 |    2.00 | Moderate Positive Shocker |                  0.20
 2025-12-17 | SHARDACROP | Unknown             |         26.05 |      29.42 |          3.32 |   -1.02 | Moderate Negative Shocker |                 -3.37
 2025-12-16 | HINDPETRO  | Large-High          |         71.89 |      65.03 |          3.04 |    2.26 | High Positive Shocker     |                  6.86
 2025-12-16 | ONGC       | Large-High          |        266.97 |     261.94 |          2.77 |    1.82 | Moderate Positive Shocker |                  5.03
 2025-12-16 | GAIL       | Large-High          |        295.72 |     289.10 |          4.14 |    1.60 | Moderate Positive Shocker |                  6.62
 2025-12-16 | INDIANB    | Large-High          |         84.75 |      82.86 |          1.23 |    1.54 | Moderate Positive Shocker |                  1.89
 2025-12-16 | DLF        | Large-High          |        366.09 |     359.27 |          4.52 |    1.51 | Moderate Positive Shocker |                  6.82
 2025-12-16 | AXISBANK   | Large-High          |        146.46 |     108.04 |         26.19 |    1.47 | Moderate Positive Shocker |                 38.42
 2025-12-16 | HAL        | Large-High          |       1682.98 |    1664.64 |         12.90 |    1.42 | Moderate Positive Shocker |                 18.34
 2025-12-16 | EICHERMOT  | Large-High          |         91.81 |      78.81 |          9.22 |    1.41 | Moderate Positive Shocker |                 13.00
 2025-12-16 | PIDILITIND | Large-High          |         60.36 |      61.43 |          0.77 |   -1.39 | Moderate Negative Shocker |                 -1.07
 2025-12-16 | BAJFINANCE | Large-High          |        366.65 |     339.37 |         19.83 |    1.38 | Moderate Positive Shocker |                 27.28
 2025-12-16 | MANKIND    | Large-Low           |        100.74 |      94.78 |          3.38 |    1.76 | Moderate Positive Shocker |                  5.96
 2025-12-16 | MARICO     | Large-Low           |         23.66 |      22.74 |          0.59 |    1.56 | Moderate Positive Shocker |                  0.92
 2025-12-16 | SBICARD    | Large-Low           |         62.08 |      59.69 |          1.75 |    1.36 | Moderate Positive Shocker |                  2.39
 2025-12-16 | ZYDUSLIFE  | Large-Low           |         95.66 |      91.58 |          3.00 |    1.36 | Moderate Positive Shocker |                  4.08
 2025-12-16 | LUPIN      | Large-Low           |         73.65 |      70.97 |          2.08 |    1.29 | Moderate Positive Shocker |                  2.68
 2025-12-16 | POLICYBZR  | Large-Low           |         49.21 |      42.84 |          5.07 |    1.26 | Moderate Positive Shocker |                  6.37
 2025-12-16 | AUBANK     | Large-Low           |         41.65 |      40.22 |          1.31 |    1.09 | Moderate Positive Shocker |                  1.43
 2025-12-16 | ICICIPRULI | Large-Low           |         35.54 |      33.56 |          1.89 |    1.05 | Moderate Positive Shocker |                  1.98
 2025-12-16 | RECLTD     | Large-Low           |        849.14 |     832.50 |         16.08 |    1.03 | Moderate Positive Shocker |                 16.64
 2025-12-16 | HAVELLS    | Large-Low           |        132.26 |     133.10 |          0.82 |   -1.02 | Moderate Negative Shocker |                 -0.84
 2025-12-16 | COLPAL     | Mid-High            |        156.73 |     162.33 |          2.62 |   -2.14 | High Negative Shocker     |                 -5.60
 2025-12-16 | MOTILALOFS | Mid-High            |        158.59 |     152.62 |          4.37 |    1.37 | Moderate Positive Shocker |                  5.97
 2025-12-16 | SCHAEFFLER | Mid-High            |         28.82 |      28.49 |          0.25 |    1.34 | Moderate Positive Shocker |                  0.33
 2025-12-16 | BDL        | Mid-High            |        677.35 |     671.20 |          5.27 |    1.17 | Moderate Positive Shocker |                  6.15
 2025-12-16 | FORTIS     | Mid-High            |        141.77 |     139.26 |          2.18 |    1.15 | Moderate Positive Shocker |                  2.51
 2025-12-16 | FACT       | Mid-High            |         64.23 |      65.06 |          0.78 |   -1.06 | Moderate Negative Shocker |                 -0.83
 2025-12-16 | LAURUSLABS | Mid-High            |        379.26 |     368.43 |         10.17 |    1.06 | Moderate Positive Shocker |                 10.83
 2025-12-16 | VMM        | Mid-High            |        116.61 |     120.81 |          4.00 |   -1.05 | Moderate Negative Shocker |                 -4.20
 2025-12-16 | HUDCO      | Mid-Low             |        280.72 |     279.18 |          0.90 |    1.71 | Moderate Positive Shocker |                  1.54
 2025-12-16 | ENDURANCE  | Mid-Low             |         37.96 |      37.17 |          0.56 |    1.42 | Moderate Positive Shocker |                  0.79
 2025-12-16 | ASTRAL     | Mid-Low             |         95.43 |     100.15 |          3.43 |   -1.38 | Moderate Negative Shocker |                 -4.72
 2025-12-16 | DELHIVERY  | Mid-Low             |         89.93 |      87.65 |          1.71 |    1.33 | Moderate Positive Shocker |                  2.28
 2025-12-16 | PWL        | Mid-Low             |         17.71 |      20.88 |          2.43 |   -1.31 | Moderate Negative Shocker |                 -3.17
 2025-12-16 | PIRAMALFIN | Mid-Low             |         18.40 |      12.20 |          4.85 |    1.28 | Moderate Positive Shocker |                  6.20
 2025-12-16 | PETRONET   | Mid-Low             |         76.69 |      75.07 |          1.31 |    1.24 | Moderate Positive Shocker |                  1.62
 2025-12-16 | ACC        | Mid-Low             |        146.50 |     142.54 |          3.42 |    1.16 | Moderate Positive Shocker |                  3.96
 2025-12-16 | NBCC       | Mid-Low             |        220.80 |     228.80 |          6.94 |   -1.15 | Moderate Negative Shocker |                 -8.00
 2025-12-16 | AIAENG     | Mid-Low             |         15.02 |      14.39 |          0.55 |    1.15 | Moderate Positive Shocker |                  0.63
 2025-12-16 | KIRLOSENG  | Small-High          |         25.99 |      27.85 |          0.77 |   -2.42 | High Negative Shocker     |                 -1.86
 2025-12-16 | DEEPAKFERT | Small-High          |         92.91 |      90.96 |          0.93 |    2.10 | High Positive Shocker     |                  1.95
 2025-12-16 | LICHSGFIN  | Small-High          |        224.35 |     220.14 |          2.17 |    1.94 | Moderate Positive Shocker |                  4.21
 2025-12-16 | SPLPETRO   | Small-High          |          9.54 |       9.17 |          0.21 |    1.78 | Moderate Positive Shocker |                  0.37
 2025-12-16 | THELEELA   | Small-High          |         11.59 |      11.36 |          0.13 |    1.78 | Moderate Positive Shocker |                  0.23
 2025-12-16 | INTELLECT  | Small-High          |         82.94 |      80.38 |          1.52 |    1.69 | Moderate Positive Shocker |                  2.56
 2025-12-16 | CHAMBLFERT | Small-High          |        256.65 |     258.68 |          1.22 |   -1.67 | Moderate Negative Shocker |                 -2.03
 2025-12-16 | ASAHIINDIA | Small-High          |          9.23 |       8.84 |          0.24 |    1.61 | Moderate Positive Shocker |                  0.39
 2025-12-16 | KEC        | Small-High          |        196.45 |     191.87 |          2.91 |    1.57 | Moderate Positive Shocker |                  4.58
 2025-12-16 | BLUEDART   | Small-High          |         56.22 |      55.29 |          0.60 |    1.55 | Moderate Positive Shocker |                  0.93
 2025-12-16 | OLECTRA    | Small-Low           |        309.35 |     306.90 |          1.43 |    1.71 | Moderate Positive Shocker |                  2.45
 2025-12-16 | DBL        | Small-Low           |         43.81 |      42.97 |          0.53 |    1.59 | Moderate Positive Shocker |                  0.84
 2025-12-16 | BANKNIFTY1 | Small-Low           |          0.48 |       0.51 |          0.02 |   -1.50 | Moderate Negative Shocker |                 -0.03
 2025-12-16 | BLUESTONE  | Small-Low           |         15.54 |      14.79 |          0.51 |    1.47 | Moderate Positive Shocker |                  0.75
 2025-12-16 | SAREGAMA   | Small-Low           |         36.01 |      37.13 |          0.83 |   -1.35 | Moderate Negative Shocker |                 -1.12
 2025-12-16 | MHRIL      | Small-Low           |         11.21 |      11.00 |          0.16 |    1.33 | Moderate Positive Shocker |                  0.21
 2025-12-16 | ARVINDFASN | Small-Low           |         29.01 |      28.19 |          0.62 |    1.32 | Moderate Positive Shocker |                  0.82
 2025-12-16 | WEWORK     | Small-Low           |          3.23 |       3.06 |          0.13 |    1.29 | Moderate Positive Shocker |                  0.17
 2025-12-16 | WESTLIFE   | Small-Low           |          9.65 |      10.25 |          0.47 |   -1.28 | Moderate Negative Shocker |                 -0.60
 2025-12-16 | RKFORGE    | Small-Low           |        146.71 |     147.78 |          0.85 |   -1.25 | Moderate Negative Shocker |                 -1.07
 2025-12-16 | SEPC       | Micro-Low           |         36.99 |      34.41 |          0.93 |    2.77 | High Positive Shocker     |                  2.58
 2025-12-16 | AMRUTANJAN | Micro-Low           |          3.52 |       3.00 |          0.20 |    2.58 | High Positive Shocker     |                  0.52
 2025-12-16 | AUTOIND    | Micro-Low           |          0.57 |       0.55 |          0.01 |    2.18 | High Positive Shocker     |                  0.02
 2025-12-16 | KSOLVES    | Micro-Low           |          1.27 |       1.31 |          0.02 |   -2.17 | High Negative Shocker     |                 -0.04
 2025-12-16 | CEWATER    | Micro-Low           |          4.97 |       4.84 |          0.06 |    2.17 | High Positive Shocker     |                  0.13
 2025-12-16 | MOSILVER   | Micro-Low           |          1.03 |       0.61 |          0.20 |    2.12 | High Positive Shocker     |                  0.42
 2025-12-16 | SBIETFIT   | Micro-Low           |          0.15 |       0.17 |          0.01 |   -2.11 | High Negative Shocker     |                 -0.02
 2025-12-16 | GOACARBON  | Micro-Low           |          1.27 |       1.25 |          0.01 |    2.11 | High Positive Shocker     |                  0.02
 2025-12-16 | EVEREADY   | Micro-Low           |         32.74 |      33.15 |          0.21 |   -1.96 | Moderate Negative Shocker |                 -0.41
 2025-12-16 | BLKASHYAP  | Micro-Low           |          5.36 |       5.09 |          0.14 |    1.89 | Moderate Positive Shocker |                  0.27
 2025-12-15 | TATACAP    | Large-High          |         11.64 |      10.49 |          0.62 |    1.85 | Moderate Positive Shocker |                  1.15
 2025-12-15 | BRITANNIA  | Large-High          |         29.86 |      33.89 |          2.61 |   -1.54 | Moderate Negative Shocker |                 -4.03
 2025-12-15 | LTIM       | Large-High          |         53.01 |      51.26 |          1.18 |    1.49 | Moderate Positive Shocker |                  1.75
 2025-12-15 | JINDALSTEL | Large-High          |         40.76 |      44.40 |          2.47 |   -1.47 | Moderate Negative Shocker |                 -3.64
 2025-12-15 | ADANIENSOL | Large-High          |        103.24 |     105.26 |          1.37 |   -1.47 | Moderate Negative Shocker |                 -2.02
 2025-12-15 | ULTRACEMCO | Large-High          |        194.87 |     204.71 |          6.72 |   -1.46 | Moderate Negative Shocker |                 -9.84
 2025-12-15 | NESTLEIND  | Large-High          |         66.83 |      68.15 |          0.95 |   -1.39 | Moderate Negative Shocker |                 -1.32
 2025-12-15 | LODHA      | Large-High          |        236.34 |     237.66 |          0.96 |   -1.38 | Moderate Negative Shocker |                 -1.32
 2025-12-15 | JIOFIN     | Large-High          |       1365.87 |    1383.48 |         13.85 |   -1.27 | Moderate Negative Shocker |                -17.61
 2025-12-15 | ETERNAL    | Large-High          |        679.43 |     710.09 |         24.33 |   -1.26 | Moderate Negative Shocker |                -30.66
 2025-12-15 | NTPCGREEN  | Large-Low           |        170.78 |     169.39 |          1.12 |    1.24 | Moderate Positive Shocker |                  1.39
 2025-12-15 | AUBANK     | Large-Low           |         41.70 |      40.22 |          1.31 |    1.13 | Moderate Positive Shocker |                  1.48
 2025-12-15 | LUPIN      | Large-Low           |         73.29 |      70.97 |          2.08 |    1.12 | Moderate Positive Shocker |                  2.32
 2025-12-15 | NAUKRI     | Large-Low           |         67.98 |      70.43 |          2.39 |   -1.02 | Moderate Negative Shocker |                 -2.45
 2025-12-15 | NHPC       | Large-Low           |        320.32 |     324.41 |          4.04 |   -1.01 | Moderate Negative Shocker |                 -4.09
 2025-12-15 | NMDC       | Mid-High            |        170.60 |     180.80 |          6.42 |   -1.59 | Moderate Negative Shocker |                -10.20
 2025-12-15 | INDUSINDBK | Mid-High            |        242.17 |     247.23 |          3.62 |   -1.40 | Moderate Negative Shocker |                 -5.06
 2025-12-15 | TATACOMM   | Mid-High            |         54.40 |      53.04 |          1.00 |    1.36 | Moderate Positive Shocker |                  1.36
 2025-12-15 | FACT       | Mid-High            |         64.06 |      65.06 |          0.78 |   -1.29 | Moderate Negative Shocker |                 -1.00
 2025-12-15 | MFSL       | Mid-High            |         22.58 |      23.72 |          0.88 |   -1.29 | Moderate Negative Shocker |                 -1.14
 2025-12-15 | SCHAEFFLER | Mid-High            |         28.22 |      28.49 |          0.25 |   -1.08 | Moderate Negative Shocker |                 -0.27
 2025-12-15 | NIFTYBEES  | Mid-High            |        150.55 |     159.78 |          8.80 |   -1.05 | Moderate Negative Shocker |                 -9.23
 2025-12-15 | OFSS       | Mid-High            |        259.01 |     263.47 |          4.36 |   -1.02 | Moderate Negative Shocker |                 -4.46
 2025-12-15 | GLENMARK   | Mid-High            |         53.84 |      56.57 |          2.71 |   -1.01 | Moderate Negative Shocker |                 -2.73
 2025-12-15 | NATIONALUM | Mid-High            |        138.02 |     146.35 |          8.33 |   -1.00 | Moderate Negative Shocker |                 -8.33
 2025-12-15 | NBCC       | Mid-Low             |        214.43 |     228.80 |          6.94 |   -2.07 | High Negative Shocker     |                -14.37
 2025-12-15 | ASTERDM    | Mid-Low             |         33.68 |      36.76 |          1.89 |   -1.63 | Moderate Negative Shocker |                 -3.08
 2025-12-15 | AIAENG     | Mid-Low             |         13.61 |      14.39 |          0.55 |   -1.42 | Moderate Negative Shocker |                 -0.78
 2025-12-15 | ENDURANCE  | Mid-Low             |         37.95 |      37.17 |          0.56 |    1.40 | Moderate Positive Shocker |                  0.78
 2025-12-15 | APARINDS   | Mid-Low             |         51.87 |      54.97 |          2.24 |   -1.39 | Moderate Negative Shocker |                 -3.10
 2025-12-15 | ESCORTS    | Mid-Low             |         39.52 |      40.29 |          0.60 |   -1.28 | Moderate Negative Shocker |                 -0.77
 2025-12-15 | NIFTYIETF  | Mid-Low             |         11.51 |      12.59 |          0.87 |   -1.24 | Moderate Negative Shocker |                 -1.08
 2025-12-15 | PIIND      | Mid-Low             |         67.65 |      65.21 |          2.11 |    1.16 | Moderate Positive Shocker |                  2.44
 2025-12-15 | DALBHARAT  | Mid-Low             |         27.81 |      29.88 |          1.84 |   -1.12 | Moderate Negative Shocker |                 -2.07
 2025-12-15 | SUPREMEIND | Mid-Low             |        116.96 |     115.83 |          1.05 |    1.08 | Moderate Positive Shocker |                  1.13
 2025-12-15 | GPIL       | Small-High          |        223.26 |     229.32 |          2.95 |   -2.05 | High Negative Shocker     |                 -6.06
 2025-12-15 | CHALET     | Small-High          |         23.87 |      24.50 |          0.35 |   -1.81 | Moderate Negative Shocker |                 -0.63
 2025-12-15 | TBOTEK     | Small-High          |         19.50 |      17.81 |          0.94 |    1.80 | Moderate Positive Shocker |                  1.69
 2025-12-15 | BEML       | Small-High          |        289.67 |     292.41 |          1.58 |   -1.74 | Moderate Negative Shocker |                 -2.74
 2025-12-15 | KEC        | Small-High          |        196.79 |     191.87 |          2.91 |    1.69 | Moderate Positive Shocker |                  4.92
 2025-12-15 | NSLNISP    | Small-High          |         98.22 |      98.81 |          0.36 |   -1.63 | Moderate Negative Shocker |                 -0.59
 2025-12-15 | JAINREC    | Small-High          |         23.98 |      25.52 |          1.00 |   -1.54 | Moderate Negative Shocker |                 -1.54
 2025-12-15 | AADHARHFC  | Small-High          |         53.59 |      54.94 |          0.88 |   -1.54 | Moderate Negative Shocker |                 -1.35
 2025-12-15 | BLACKBUCK  | Small-High          |         71.43 |      73.79 |          1.63 |   -1.45 | Moderate Negative Shocker |                 -2.36
 2025-12-15 | NIVABUPA   | Small-High          |         49.70 |      48.50 |          0.83 |    1.44 | Moderate Positive Shocker |                  1.20
 2025-12-15 | IONEXCHANG | Small-Low           |         34.15 |      36.07 |          0.82 |   -2.34 | High Negative Shocker     |                 -1.92
 2025-12-15 | KTKBANK    | Small-Low           |        388.24 |     413.32 |         12.16 |   -2.06 | High Negative Shocker     |                -25.08
 2025-12-15 | LIQUIDCASE | Small-Low           |          0.49 |       0.45 |          0.02 |    2.01 | High Positive Shocker     |                  0.04
 2025-12-15 | KRBL       | Small-Low           |         44.93 |      44.70 |          0.12 |    1.90 | Moderate Positive Shocker |                  0.23
 2025-12-15 | KALPATARU  | Small-Low           |          1.41 |       1.50 |          0.05 |   -1.86 | Moderate Negative Shocker |                 -0.09
 2025-12-15 | GNFC       | Small-Low           |         98.10 |      97.23 |          0.49 |    1.78 | Moderate Positive Shocker |                  0.87
 2025-12-15 | WABAG      | Small-Low           |        131.85 |     128.33 |          2.05 |    1.72 | Moderate Positive Shocker |                  3.52
 2025-12-15 | MAXESTATES | Small-Low           |         13.02 |      12.57 |          0.27 |    1.65 | Moderate Positive Shocker |                  0.45
 2025-12-15 | SJS        | Small-Low           |         22.00 |      23.33 |          0.82 |   -1.62 | Moderate Negative Shocker |                 -1.33
 2025-12-15 | MAHLIFE    | Small-Low           |         41.37 |      41.47 |          0.06 |   -1.61 | Moderate Negative Shocker |                 -0.10
 2025-12-15 | SUBEXLTD   | Micro-Low           |          1.57 |       1.54 |          0.01 |    3.10 | High Positive Shocker     |                  0.03
 2025-12-15 | GROWWN200  | Micro-Low           |          0.03 |       0.05 |          0.01 |   -2.20 | High Negative Shocker     |                 -0.02
 2025-12-15 | SYSTMTXC   | Micro-Low           |          0.93 |       0.89 |          0.02 |    2.14 | High Positive Shocker     |                  0.04
 2025-12-15 | GILT5YBEES | Micro-Low           |          0.52 |       0.14 |          0.18 |    2.12 | High Positive Shocker     |                  0.38
 2025-12-15 | BHAGERIA   | Micro-Low           |          3.84 |       3.76 |          0.04 |    2.04 | High Positive Shocker     |                  0.08
 2025-12-15 | MINDTECK   | Micro-Low           |          0.98 |       0.76 |          0.11 |    2.00 | High Positive Shocker     |                  0.22
 2025-12-15 | RAYMOND    | Micro-Low           |         57.81 |      58.89 |          0.55 |   -1.96 | Moderate Negative Shocker |                 -1.08
 2025-12-15 | 20MICRONS  | Micro-Low           |          4.27 |       4.33 |          0.03 |   -1.94 | Moderate Negative Shocker |                 -0.06
 2025-12-15 | RML        | Micro-Low           |          2.34 |       2.28 |          0.03 |    1.89 | Moderate Positive Shocker |                  0.06
 2025-12-15 | INDRAMEDCO | Micro-Low           |         65.05 |      63.17 |          1.00 |    1.88 | Moderate Positive Shocker |                  1.88
 2025-12-12 | HINDALCO   | Large-High          |        112.47 |     125.55 |          6.99 |   -1.87 | Moderate Negative Shocker |                -13.08
 2025-12-12 | BPCL       | Large-High          |         96.61 |     100.93 |          2.31 |   -1.87 | Moderate Negative Shocker |                 -4.32
 2025-12-12 | CUMMINSIND | Large-High          |         44.91 |      48.58 |          2.02 |   -1.82 | Moderate Negative Shocker |                 -3.67
 2025-12-12 | SIEMENS    | Large-High          |        131.95 |     120.57 |          6.34 |    1.80 | Moderate Positive Shocker |                 11.38
 2025-12-12 | BAJAJHLDNG | Large-High          |        150.36 |     144.85 |          3.12 |    1.77 | Moderate Positive Shocker |                  5.51
 2025-12-12 | ADANIPORTS | Large-High          |        212.72 |     219.33 |          3.80 |   -1.74 | Moderate Negative Shocker |                 -6.61
 2025-12-12 | HINDUNILVR | Large-High          |        183.76 |     172.83 |          6.39 |    1.71 | Moderate Positive Shocker |                 10.93
 2025-12-12 | ADANIPOWER | Large-High          |        484.06 |     487.40 |          2.03 |   -1.65 | Moderate Negative Shocker |                 -3.34
 2025-12-12 | MUTHOOTFIN | Large-High          |         36.45 |      39.36 |          1.76 |   -1.65 | Moderate Negative Shocker |                 -2.91
 2025-12-12 | LICI       | Large-High          |        304.22 |     307.69 |          2.12 |   -1.64 | Moderate Negative Shocker |                 -3.47
 2025-12-12 | NAUKRI     | Large-Low           |         66.90 |      70.43 |          2.39 |   -1.48 | Moderate Negative Shocker |                 -3.53
 2025-12-12 | AUBANK     | Large-Low           |         41.92 |      40.22 |          1.31 |    1.30 | Moderate Positive Shocker |                  1.70
 2025-12-12 | UPL        | Mid-High            |        119.76 |      60.90 |         22.75 |    2.59 | High Positive Shocker     |                 58.86
 2025-12-12 | NATIONALUM | Mid-High            |        131.66 |     146.35 |          8.33 |   -1.76 | Moderate Negative Shocker |                -14.69
 2025-12-12 | NMDC       | Mid-High            |        170.35 |     180.80 |          6.42 |   -1.63 | Moderate Negative Shocker |                -10.45
 2025-12-12 | SCHAEFFLER | Mid-High            |         28.13 |      28.49 |          0.25 |   -1.42 | Moderate Negative Shocker |                 -0.36
 2025-12-12 | TATACOMM   | Mid-High            |         54.15 |      53.04 |          1.00 |    1.11 | Moderate Positive Shocker |                  1.11
 2025-12-12 | FORTIS     | Mid-High            |        136.87 |     139.26 |          2.18 |   -1.10 | Moderate Negative Shocker |                 -2.39
 2025-12-12 | JSWINFRA   | Mid-High            |        146.10 |     144.97 |          1.04 |    1.09 | Moderate Positive Shocker |                  1.13
 2025-12-12 | INDUSINDBK | Mid-High            |        243.52 |     247.23 |          3.62 |   -1.03 | Moderate Negative Shocker |                 -3.71
 2025-12-12 | ANTHEM     | Mid-Low             |         24.90 |      25.99 |          0.80 |   -1.36 | Moderate Negative Shocker |                 -1.09
 2025-12-12 | 3MINDIA    | Mid-Low             |         20.03 |      19.53 |          0.38 |    1.32 | Moderate Positive Shocker |                  0.50
 2025-12-12 | HINDCOPPER | Mid-Low             |        391.78 |     416.60 |         19.02 |   -1.30 | Moderate Negative Shocker |                -24.82
 2025-12-12 | ENDURANCE  | Mid-Low             |         36.45 |      37.17 |          0.56 |   -1.28 | Moderate Negative Shocker |                 -0.72
 2025-12-12 | ASTERDM    | Mid-Low             |         34.36 |      36.76 |          1.89 |   -1.27 | Moderate Negative Shocker |                 -2.40
 2025-12-12 | GODIGIT    | Mid-Low             |          7.00 |       6.89 |          0.09 |    1.26 | Moderate Positive Shocker |                  0.11
 2025-12-12 | PWL        | Mid-Low             |         17.86 |      20.88 |          2.43 |   -1.24 | Moderate Negative Shocker |                 -3.02
 2025-12-12 | MEDANTA    | Mid-Low             |         40.34 |      41.02 |          0.59 |   -1.16 | Moderate Negative Shocker |                 -0.68
 2025-12-12 | KPITTECH   | Mid-Low             |        184.32 |     188.03 |          3.20 |   -1.16 | Moderate Negative Shocker |                 -3.71
 2025-12-12 | APARINDS   | Mid-Low             |         52.71 |      54.97 |          2.24 |   -1.01 | Moderate Negative Shocker |                 -2.26
 2025-12-12 | SARDAEN    | Small-High          |        130.18 |     126.91 |          1.41 |    2.32 | High Positive Shocker     |                  3.27
 2025-12-12 | SANDUMA    | Small-High          |         66.22 |      70.40 |          2.10 |   -1.99 | Moderate Negative Shocker |                 -4.18
 2025-12-12 | LEMONTREE  | Small-High          |        105.74 |     107.88 |          1.09 |   -1.96 | Moderate Negative Shocker |                 -2.14
 2025-12-12 | ITI        | Small-High          |         35.23 |      35.66 |          0.24 |   -1.79 | Moderate Negative Shocker |                 -0.43
 2025-12-12 | GOLD1      | Small-High          |          9.74 |      11.10 |          0.79 |   -1.72 | Moderate Negative Shocker |                 -1.36
 2025-12-12 | BLACKBUCK  | Small-High          |         71.04 |      73.79 |          1.63 |   -1.69 | Moderate Negative Shocker |                 -2.75
 2025-12-12 | SILVERIETF | Small-High          |         78.80 |      87.23 |          5.14 |   -1.64 | Moderate Negative Shocker |                 -8.43
 2025-12-12 | JINDALSAW  | Small-High          |        216.44 |     214.07 |          1.45 |    1.64 | Moderate Positive Shocker |                  2.37
 2025-12-12 | CHALET     | Small-High          |         23.93 |      24.50 |          0.35 |   -1.63 | Moderate Negative Shocker |                 -0.57
 2025-12-12 | BAYERCROP  | Small-High          |         47.36 |      46.56 |          0.50 |    1.59 | Moderate Positive Shocker |                  0.80
 2025-12-12 | TARIL      | Small-Low           |        123.89 |     131.49 |          3.64 |   -2.09 | High Negative Shocker     |                 -7.60
 2025-12-12 | ARVIND     | Small-Low           |         34.81 |      33.74 |          0.53 |    2.03 | High Positive Shocker     |                  1.07
 2025-12-12 | WABAG      | Small-Low           |        132.02 |     128.33 |          2.05 |    1.80 | Moderate Positive Shocker |                  3.69
 2025-12-12 | HDFCNIFBAN | Small-Low           |          0.57 |       0.52 |          0.03 |    1.76 | Moderate Positive Shocker |                  0.05
 2025-12-12 | SFL        | Small-Low           |         31.96 |      31.74 |          0.14 |    1.57 | Moderate Positive Shocker |                  0.22
 2025-12-12 | TIMETECHNO | Small-Low           |         74.29 |      73.02 |          0.83 |    1.53 | Moderate Positive Shocker |                  1.27
 2025-12-12 | IFBIND     | Small-Low           |         47.28 |      47.46 |          0.12 |   -1.50 | Moderate Negative Shocker |                 -0.18
 2025-12-12 | MAXESTATES | Small-Low           |         12.96 |      12.57 |          0.27 |    1.43 | Moderate Positive Shocker |                  0.39
 2025-12-12 | STARCEMENT | Small-Low           |         30.70 |      31.11 |          0.29 |   -1.42 | Moderate Negative Shocker |                 -0.41
 2025-12-12 | RHIM       | Small-Low           |         38.47 |      38.73 |          0.19 |   -1.38 | Moderate Negative Shocker |                 -0.26
 2025-12-12 | MOCAPITAL  | Micro-Low           |          5.10 |       5.31 |          0.08 |   -2.61 | High Negative Shocker     |                 -0.21
 2025-12-12 | MUFIN      | Micro-Low           |         21.27 |      22.35 |          0.45 |   -2.41 | High Negative Shocker     |                 -1.08
 2025-12-12 | SARLAPOLY  | Micro-Low           |          0.35 |       0.30 |          0.02 |    2.41 | High Positive Shocker     |                  0.05
 2025-12-12 | RAJOOENG   | Micro-Low           |          8.00 |       8.32 |          0.14 |   -2.32 | High Negative Shocker     |                 -0.32
 2025-12-12 | SILVER360  | Micro-Low           |          0.35 |       0.24 |          0.05 |    2.20 | High Positive Shocker     |                  0.11
 2025-12-12 | ASAL       | Micro-Low           |          1.79 |       1.85 |          0.03 |   -1.98 | Moderate Negative Shocker |                 -0.06
 2025-12-12 | TOP100CASE | Micro-Low           |          0.17 |       0.28 |          0.06 |   -1.90 | Moderate Negative Shocker |                 -0.11
 2025-12-12 | DHANBANK   | Micro-Low           |          1.05 |       1.11 |          0.03 |   -1.89 | Moderate Negative Shocker |                 -0.06
 2025-12-12 | DCW        | Micro-Low           |         26.89 |      27.33 |          0.24 |   -1.82 | Moderate Negative Shocker |                 -0.44
 2025-12-12 | LICMFGOLD  | Micro-Low           |         14.48 |      14.86 |          0.21 |   -1.81 | Moderate Negative Shocker |                 -0.38
 2025-12-12 | GOLDETFADD | Unknown             |          0.35 |       0.24 |          0.11 |    1.03 | Moderate Positive Shocker |                  0.11
 2025-12-11 | LTIM       | Large-High          |         49.36 |      51.26 |          1.18 |   -1.61 | Moderate Negative Shocker |                 -1.90
 2025-12-11 | BOSCHLTD   | Large-High          |         63.16 |      66.10 |          1.83 |   -1.60 | Moderate Negative Shocker |                 -2.94
 2025-12-11 | SOLARINDS  | Large-High          |        417.33 |     423.34 |          3.97 |   -1.51 | Moderate Negative Shocker |                 -6.01
 2025-12-11 | LICI       | Large-High          |        304.52 |     307.69 |          2.12 |   -1.49 | Moderate Negative Shocker |                 -3.17
 2025-12-11 | IDEA       | Large-High          |        505.91 |     525.26 |         14.07 |   -1.37 | Moderate Negative Shocker |                -19.35
