sebi_report_as_on_reporting_date_09oct2025,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7
IKS,INVENTURUS KNOWLEDGE SO L,453602.00,7276.57,,,,
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,485344.00,2600.43,,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5438732.00,5362.85,,,,
PREMEXPLN,PREMIER EXPLOSIVES LTD,922875.00,5497.46,,,,
MMTC,MMTC LIMITED,2661096.00,1930.90,,,,
MOM30IETF,ICICIPRAMC - ICICIMOM30,2968479.00,960.37,,,,
FMCGIETF,ICICIPRAMC - ICICIFMCG,3287571.00,1959.55,,,,
BFSI,MIRAEAMC - MAFSETF,1140768.00,309.04,,,,
LALPATHLAB,DR. LAL PATH LABS LTD.,94946.00,3044.42,,,,
ORIENTELEC,ORIENT ELECTRIC LIMITED,354250.00,784.90,,,,
INDIQUBE,INDIQUBE SPACES LIMITED,169346.00,398.54,,,,
MID150CASE,ZERODHAAMC - MID150CASE,1213624.00,130.84,,,,
TATSILV,TATAAML-TATSILV,12952442.00,1962.52,,,,
CPSEETF,CPSE ETF,3104743.00,2884.45,,,,
DOLATALGO,DOLAT ALGOTECH LIMITED,597053.00,566.46,,,,
AMRUTANJAN,AMRUTAJAN HEALTH LTD,42781.00,323.28,,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1339822.00,6043.82,,,,
MANALIPETC,MANALI PETROCHEMICALS LT,711615.00,548.20,,,,
MOREALTY,MOTILALAMC - MOREALTY,873007.00,800.05,,,,
SCODATUBES,SCODA TUBES LIMITED,391158.00,744.47,,,,
ROUTE,ROUTE MOBILE LIMITED,863692.00,8847.39,,,,
IFBIND,IFB INDUSTRIES LTD,265080.00,4238.38,,,,
MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,678413.00,120.95,,,,
GEOJITFSL,GEOJIT FINANCIAL SER L,1582802.00,1338.16,,,,
ALPL30IETF,ICICIPRAMC - ICICIALPLV,917093.00,260.91,,,,
JPOLYINVST,JIND POL INV & FIN CO LTD,4065.00,39.04,,,,
SUPRAJIT,SUPRAJIT ENGINEERING LIMI,263416.00,1253.05,,,,
VENUSPIPES,VENUS PIPES & TUBES LTD,321342.00,4540.22,,,,
ALEMBICLTD,ALEMBIC LIMITED,2513034.00,3033.92,,,,
EVIETF,ICICIPRAMC - EVIETF,123383.00,39.60,,,,
SHALBY,SHALBY LIMITED,806815.00,1926.91,,,,
BIRLANU,BIRLANU LIMITED,42528.00,929.29,,,,
MHRIL,MAHINDRA HOLIDAYS & RESOR,297017.00,1085.42,,,,
SUNDARMFIN,SUNDARAM FINANCE LTD,47285.00,2207.48,,,,
MANKIND,MANKIND PHARMA LIMITED,185427.00,4709.86,,,,
BLACKBUCK,BLACKBUCK LIMITED,1129206.00,6710.80,,,,
TOP100CASE,ZERODHAAMC - TOP100CASE,219878.00,23.47,,,,
TOP10ADD,DSPAMC - TOP10ADD,108878.00,104.65,,,,
FINIETF,ICICIPRAMC-ICICIFIN,542983.00,163.37,,,,
VIMTALABS,VIMTA LABS LIMITED,398429.00,2975.02,,,,
JTEKTINDIA,JTEKT INDIA LIMITED,498845.00,878.12,,,,
TNPL,TAMILNADU NEWSPRT & PAPER,658427.00,1134.99,,,,
TEXINFRA,TEXMACO INFRA & HOLDG LTD,710411.00,828.51,,,,
ZUARI,ZUARI AGRO CHEMICALS LTD,462044.00,1283.74,,,,
HUHTAMAKI,HUHTAMAKI INDIA LIMITED,1154068.00,3997.11,,,,
SHOPERSTOP,SHOPPERS STOP LIMITED,70502.00,412.08,,,,
BANARISUG,BANNARI AMMAN SUGARS LTD,439.00,15.82,,,,
FOSECOIND,FOSECO INDIA LTD,4040.00,240.00,,,,
ATALREAL,ATAL REALTECH LIMITED,1941604.00,428.87,,,,
UNIMECH,UNIMECH AEROSPACE N MFG L,27649.00,294.91,,,,
EMAMILTD,EMAMI LIMITED,716735.00,4259.09,,,,
SCILAL,SHIPPING CORP OF ILA LTD,2078521.00,1128.36,,,,
SANSTAR,SANSTAR LIMITED,1150105.00,1172.88,,,,
ICEMAKE,ICE MAKE REFRIGERAT LTD,26975.00,226.27,,,,
RPEL,RAGHAV PRODUCTIVITY ENH L,81418.00,527.85,,,,
NV20IETF,ICICI PRUDENTIAL NV20 ETF,755811.00,110.12,,,,
KUANTUM,KUANTUM PAPERS LIMITED,308846.00,375.09,,,,
BALAJITELE,BALAJI TELEFILMS LIMITED.,59465.00,76.85,,,,
MEDICO,MEDICO REMEDIES LIMITED,10270.00,4.48,,,,
BORANA,BORANA WEAVES LIMITED,42911.00,96.73,,,,
BALPHARMA,BAL PHARMA LTD.,150.00,0.13,,,,
BANKBETF,BFAM - BANKBETF,10793.00,6.01,,,,
HDFCNIFIT,HDFCAMC - HDFCNIFIT,370660.00,138.32,,,,
VAL30IETF,ICICIPRAMC - VAL30IETF,10450.00,1.41,,,,
JUBLCPL,JUBILANT AGRI N CON PRO L,71.00,1.94,,,,
DATAMATICS,DATAMATICS GLOBAL SER LTD,385910.00,3332.49,,,,
OAL,ORIENTAL AROMATICS LTD,20521.00,94.76,,,,
TVSSRICHAK,TVS SRICHAKRA LIMITED,5362.00,190.58,,,,
MFSL,MAX FINANCIAL SERV LTD,77769.00,1219.54,,,,
PAGEIND,PAGE INDUSTRIES LTD,10898.00,4815.30,,,,
GREENLAM,GREENLAM INDUSTRIES LTD.,132795.00,340.93,,,,
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,24400.00,508.19,,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LTD,1078534.00,4378.15,,,,
TVSHLTD,TVS HOLDINGS LIMITED,15375.00,1852.76,,,,
AGARIND,AGARWAL INDS CORP LTD.,43019.00,433.80,,,,
MAGADSUGAR,MAGADH SUGAR & ENERGY LTD,16692.00,116.25,,,,
JGCHEM,J.G.CHEMICALS LIMITED,224606.00,1078.19,,,,
RHFL,UNS RED NCD 9.40% SR. IV,10000.00,0.56,,,,
SKMEGGPROD,SKM EGG PROD-ROLL SETT,613.00,1.65,,,,
JAYAGROGN,JAYANT AGRO ORGANICS LTD.,14651.00,39.80,,,,
DOLLAR,DOLLAR INDUSTRIES LIMITED,170855.00,685.86,,,,
SURYODAY,SURYODAY SMALL FIN BK LTD,573975.00,816.98,,,,
TRU,TRUCAP FINANCE LIMITED,15235.00,1.86,,,,
LUMAXTECH,LUMAX AUTO TECHNOLOGIES L,176785.00,1837.17,,,,
UTINIFTETF,UTIAMC-UTINIFTETF,7218.00,19.55,,,,
OSWALAGRO,OSWAL AGRO MILLS LTD,152815.00,131.09,,,,
RUSHIL,RUSHIL DECOR LIMITED,1010212.00,338.85,,,,
DIVGIITTS,DIVGI TORQTRANSFER SYST L,10659.00,70.45,,,,
KOTHARIPET,KOTHARI PETROCHEM LTD,97274.00,161.42,,,,
SENSEXETF,MIRAEAMC - SENSEXETF,5333.00,4.47,,,,
AXISNIFTY,AXISAMC - AXISNIFTY,19906.00,54.29,,,,
HESTERBIO,HESTER BIOSCIENCES LTD,7804.00,163.02,,,,
WHEELS,WHEELS INDIA LTD,86806.00,719.65,,,,
MENONBE,MENON BEARINGS LIMITED,16936.00,23.46,,,,
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,39403.00,153.97,,,,
UFO,UFO MOVIEZ INDIA LTD.,87831.00,81.39,,,,
INFRABEES,NIP IND ETF INFRA BEES,32637.00,307.15,,,,
CENTEXT,CENTURY EXTRUSIONS LTD,31581.00,9.49,,,,
MOQUALITY,MOTILALAMC - MOQUALITY,1270.00,2.48,,,,
LIQUIDBETF,BFAM - LIQUIDBETF,40.00,0.42,,,,
PROZONER,PROZONE REALTY LIMITED,181465.00,98.69,,,,
EGOLD,EDELAMC - EGOLD,68345.00,72.31,,,,
SUNDARAM,SUNDARAM MULTI PAP LTD,34259.00,0.72,,,,
SBIETFPB,SBIAMC - SBIETFPB,798.00,2.15,,,,
VHL,VARDHMAN HOLDINGS LIMITED,371.00,17.37,,,,
BANKETFADD,DSPAMC - DSPBANKETF,2575.00,1.47,,,,
LYKALABS,LYKA LABS LTD,20990.00,26.75,,,,
INDIANHUME,INDIAN HUME PIPE CO. LTD.,89673.00,370.53,,,,
PRIMO,PRIMO CHEMICALS LIMITED,12049.00,3.33,,,,
INDBANK,INDBANK MERCH BANK,10927.00,4.70,,,,
LIQUID1,KOTAKMAMC - KOTAKLIQ,67.00,0.72,,,,
VALIANTLAB,VALIANT LABORATORIES LTD,23689.00,23.97,,,,
MURUDCERA,MURUDESHWAR CERAM LTD,6780.00,3.37,,,,
BANKPSU,MIRAEAMC - BANKPSU,13123.00,9.53,,,,
KRISHANA,KRISHANA PHOSCHEM LIMITED,105117.00,547.51,,,,
MOLDTKPAC,MOLD-TEK PACKAGING LTD,150750.00,1100.68,,,,
HINDCOMPOS,HINDUSTAN COMPOSITES LTD,4173.00,19.61,,,,
AUTOIND,AUTOLINE INDUSTRIES LTD,55299.00,45.37,,,,
AMJLAND,AMJ LAND HOLDINGS LIMITED,200.00,0.12,,,,
IVP,IVP LIMITED,1270.00,2.09,,,,
SHIVAMAUTO,SHIVAM AUTO.LTD,47057.00,15.52,,,,
KOTARISUG,KOTHARI SUG & CHEM LTD.,20669.00,7.17,,,,
SNXT30BEES,NIPPONAMC - SNXT30BEES,2544.00,1.00,,,,
SHANKARA,SHANKARA BLDG PRODUCT LTD,48858.00,73.04,,,,
SILVER360,360ONEAMC - SILVER360,20248.00,31.38,,,,
MOMIDMTM,MOTILALAMC - MOMIDMTM,4163.00,2.58,,,,
SGFIN,SG FINSERVE LIMITED,40356.00,149.32,,,,
BANSWRAS,BANSWARA SYNTEX LIMITED,3608.00,5.89,,,,
GOKUL,GOKUL REFOILS & SOLV LTD,7471.00,3.17,,,,
GUJAPOLLO,GUJ. APOLLO IND. LTD.,747.00,3.74,,,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,42173.00,47.13,,,,
AYMSYNTEX,AYM SYNTEX LIMITED,14164.00,28.68,,,,
RISHABH,RISHABH INSTRUMENTS LTD,31550.00,134.74,,,,
ASHOKAMET,ASHOKA METCAST LIMITED,1186.00,0.21,,,,
PODDARMENT,PODDAR PIGMENTS LIMITED,261.00,0.79,,,,
LIQUIDSBI,SBIAMC - LIQUIDSBI,11.00,0.11,,,,
VALIANTORG,VALIANT ORGANICS LIMITED,3175.00,15.32,,,,
AXISCADES,AXISCADES TECH LTD,4246.00,72.33,,,,
JINDALPHOT,JINDAL PHOTO LIMITED,0.00,0.00,,,,
MEGASOFT,MEGASOFT LTD,6658.00,10.42,,,,
INVENTURE,INVENTURE GRO & SEC LTD,159162.00,3.21,,,,
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11.00,0.11,,,,
ELDEHSG,ELDECO HSG & IND LTD.,338.00,2.69,,,,
ABINFRA,A B INFRABUILD LIMITED,220.00,0.44,,,,
INTENTECH,INTENSE TECHNOLOGIES LTD,0.00,0.00,,,,
AHLEAST,ASIAN HOTELS (EAST) LTD,1212.00,1.85,,,,
AARTISURF,AARTI SURFACTANTS LIMITED,1692.00,8.28,,,,
STEL,STEL HOLDINGS LIMITED,400.00,1.99,,,,
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,11411.00,1628.50,,,,
NUVAMA,NUVAMA WEALTH MANAGE LTD,165187.00,11386.24,,,,
TATATECH,TATA TECHNOLOGIES LIMITED,3450404.00,26729.09,,,,
PNB,PUNJAB NATIONAL BANK,31452780.00,33817.96,,,,
NBCC,NBCC (INDIA) LIMITED,21059731.00,23551.48,,,,
SALASAR,SALASAR TECHNO ENGG. LTD.,13715265.00,1427.63,,,,
PAYTM,ONE 97 COMMUNICATIONS LTD,1470085.00,14395.59,,,,
ARKADE,ARKADE DEVELOPERS LIMITED,2896527.00,5235.12,,,,
DHANI,DHANI SERVICES LIMITED,5905419.00,3891.49,,,,
NLCINDIA,NLC INDIA LIMITED,5661093.00,14192.23,,,,
VPRPL,VISHNU PRAKASH R PUNGLI L,3349380.00,4663.40,,,,
GARUDA,GARUDA CONSTRUCT N ENG L,724457.00,1409.02,,,,
BALKRISIND,BALKRISHNA IND. LTD,160426.00,4042.42,,,,
HFCL,HFCL LIMITED,40604555.00,36774.42,,,,
SUZLON,SUZLON ENERGY LIMITED,143422200.00,87256.97,,,,
CANBK,CANARA BANK,24963476.00,27408.25,,,,
ADANIPOWER,ADANI POWER LTD,28703632.00,41359.19,,,,
TORNTPOWER,TORRENT POWER LTD,843145.00,11407.20,,,,
MOL,MEGHMANI ORGANICS LIMITED,5504798.00,4905.08,,,,
CASTROLIND,CASTROL INDIA LIMITED,7606906.00,16605.58,,,,
SBIN,STATE BANK OF INDIA,5739406.00,46575.90,,,,
SILVERBEES,NIPPONAMC - NETFSILVER,22921329.00,31506.65,,,,
GIPCL,GUJ IND POW CO. LTD,2262215.00,4630.77,,,,
RELIANCE,RELIANCE INDUSTRIES LTD,10050126.00,140162.11,,,,
GANESHBE,GANESH BENZOPLAST LIMITED,344338.00,405.20,,,,
UGARSUGAR,THE UGAR SUGAR WORKS LTD,302581.00,154.98,,,,
SIKKO,SIKKO INDUSTRIES LIMITED,4103.00,3.51,,,,
RAJESHEXPO,RAJESH EXPORTS LTD,1835141.00,4032.38,,,,
ESTER,ESTER INDUSTRIES LTD,344861.00,462.68,,,,
CLSEL,CHAMAN LAL SETIA EXP LTD,237218.00,728.57,,,,
IONEXCHANG,ION EXCHANGE (INDIA) LTD,818680.00,4184.89,,,,
UBL,UNITED BREWERIES LTD,221165.00,4213.97,,,,
AWL,AWL AGRI BUSINESS LIMITED,4505550.00,12543.43,,,,
BEDMUTHA,BEDMUTHA INDUST LTD,8083.00,11.64,,,,
PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,94814.00,122.91,,,,
SAMMAANCAP,SAMMAAN CAPITAL LIMITED,41010233.00,59139.16,,,,
IREDA,INDIAN RENEWABLE ENERGY,25273520.00,42174.50,,,,
DCW,DCW LIMITED,4298048.00,3347.58,,,,
EIMCOELECO,EIMCO ELECON (INDIA) LTD.,41907.00,916.00,,,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,1797339.00,23644.29,,,,
ADSL,ALLIED DIGITAL SERVICES L,365634.00,725.67,,,,
PREMIERENE,PREMIER ENERGIES LIMITED,3347130.00,35078.87,,,,
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,271474.00,4172.48,,,,
BLS,BLS INTL SERVS LTD,7531857.00,28586.09,,,,
DLF,DLF LIMITED,4806989.00,37792.39,,,,
SKIPPER,SKIPPER LIMITED,1064416.00,5597.23,,,,
SUDARSCHEM,SUDARSHAN CHEM IND LTD,227815.00,2747.94,,,,
AVANTEL,AVANTEL LIMITED,5107458.00,9150.92,,,,
LTTS,L&T TECHNOLOGY SER. LTD.,247039.00,10972.92,,,,
POLYCAB,POLYCAB INDIA LIMITED,148471.00,9667.83,,,,
SHYAMMETL,SHYAM METALICS AND ENGY L,1069991.00,9165.19,,,,
RELINFRA,RELIANCE INFRASTRUCTU LTD,146376.00,352.46,,,,
BHANDARI,BHANDARI HOSIERY EXP LTD,891782.00,46.17,,,,
HEIDELBERG,HEIDELBERGCEMENT (I) LTD,771172.00,1653.95,,,,
DEVIT,DEV INFO TECHNOLOGY LTD,27642.00,13.83,,,,
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,22311097.00,26932.58,,,,
TTKHLTCARE,TTK HEALTHCARE LIMITED,1900.00,25.35,,,,
PATINTLOG,PATEL INT. LOG. LTD,101510.00,17.43,,,,
PFC,POWER FIN CORP LTD.,14774570.00,62129.96,,,,
ABB,ABB INDIA LIMITED,479297.00,27565.38,,,,
KHADIM,KHADIM INDIA LIMITED,11768.00,34.31,,,,
CELLO,CELLO WORLD LIMITED,599247.00,3712.21,,,,
KEC,KEC INTL. LIMITED,1234698.00,10947.79,,,,
UNIPARTS,UNIPARTS INDIA LIMITED,201604.00,863.24,,,,
ALICON,ALICON CASTALLOY LIMITED,8211.00,85.71,,,,
RAYMONDREL,RAYMOND REALTY LIMITED,562699.00,3520.08,,,,
DBOL,DHAMPUR BIO ORGANICS LTD,63897.00,58.39,,,,
RPOWER,RELIANCE POWER LTD.,5874516.00,2652.82,,,,
MODISONLTD,MODISON LIMITED,71244.00,120.03,,,,
VENUSREM,VENUS REMEDIES LIMITED,250.00,0.85,,,,
MGL,MAHANAGAR GAS LTD.,707157.00,9971.58,,,,
RUCHIRA,RUCHIRA PAPERS LIMITED,124200.00,191.19,,,,
REDINGTON,REDINGTON LIMITED,3664171.00,10521.15,,,,
THELEELA,SCHLOSS BANGALORE LIMITED,120572.00,521.23,,,,
PLATIND,PLATINUM INDUSTRIES LTD,505551.00,1567.65,,,,
ACMESOLAR,ACME SOLAR HOLDINGS LTD,1907021.00,5652.42,,,,
JYOTICNC,JYOTI CNC AUTOMATION LTD,846135.00,8872.94,,,,
KRBL,KRBL LIMITED,1569474.00,6059.52,,,,
BEML,BEML LIMITED,844595.00,36650.78,,,,
JKTYRE,JK TYRE & INDUSTRIES LTD,1413731.00,5325.61,,,,
SUNPHARMA,SUN PHARMACEUTICAL IND L,575338.00,9649.49,,,,
GICRE,GENERAL INS CORP OF INDIA,2771779.00,11041.08,,,,
BIOCON,BIOCON LIMITED,3355045.00,12381.60,,,,
CHOICEIN,CHOICE INTERNATIONAL LTD,1608890.00,12251.51,,,,
KAJARIACER,KAJARIA CERAMICS LTD,521743.00,6068.71,,,,
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,2484225.00,14285.72,,,,
SOBHA,SOBHA LIMITED,289039.00,4541.12,,,,
ERIS,ERIS LIFESCIENCES LIMITED,90081.00,1510.52,,,,
CROMPTON,CROMPT GREA CON ELEC LTD,5779895.00,18805.41,,,,
CSBBANK,CSB BANK LIMITED,847427.00,3197.75,,,,
HOMEFIRST,HOME FIRST FIN CO IND LTD,288197.00,3634.29,,,,
INDIANB,INDIAN BANK,437038.00,2833.03,,,,
VESUVIUS,VESUVIUS INDIA LTD,232555.00,1260.90,,,,
SAPPHIRE,SAPPHIRE FOODS INDIA LTD,1814636.00,5825.18,,,,
GALAPREC,GALA PRECISION ENG LTD,49200.00,464.63,,,,
SAMBHV,SAMBHV STEEL TUBES LTD,1672132.00,1978.09,,,,
PGHL,PROCTER & GAMBLE HEALTH L,20709.00,1289.97,,,,
QUADFUTURE,QUADRANT FUTURE TEK LTD,561803.00,2519.57,,,,
CEIGALL,CEIGALL INDIA LIMITED,657202.00,1803.48,,,,
PITTIENG,PITTI ENGINEERING LIMITED,131116.00,1344.63,,,,
THOMASCOOK,CLASSC 0.001% CCR PREF.SH,2952211.00,5040.51,,,,
MOMENTUM50,MOTILALAMC - MOMENTUM50,1946850.00,1014.26,,,,
HDFCGOLD,HDFC GOLD ETF,1869242.00,1758.22,,,,
AADHARHFC,AADHAR HOUSING FINANCE L,1028535.00,5244.47,,,,
GLOBUSSPR,GLOBUS SPIRITS LTD,163227.00,1833.98,,,,
SANATHAN,SANATHAN TEXTILES LIMITED,78327.00,393.52,,,,
MUKKA,MUKKA PROTEINS LIMITED,607847.00,189.90,,,,
