sebi_report_as_on_reporting_date_20oct2025,unnamed_1,unnamed_2,unnamed_3
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,1000,0.07
AKUMS,AKUMS DRUGS AND PHARMA L,431493,2238.45
AKZOINDIA,AKZO NOBEL INDIA LIMITED,26322,939.29
ALANKIT,ALANKIT LIMITED,268918,38.25
ALBERTDAVD,ALBERT DAVID LIMITED,3916,32.25
ALEMBICLTD,ALEMBIC LIMITED,2370974,2822.09
ALICON,ALICON CASTALLOY LIMITED,7712,80.99
ALIVUS,ALIVUS LIFE SCIENCES LTD,213196,2205.88
ALKALI,ALKALI METALS LTD,880,0.84
ALKEM,ALKEM LABORATORIES LTD.,22491,1233.09
ALKYLAMINE,ALKYL AMINES CHEM. LTD,169898,3528.52
ALLCARGO,ALLCARGO LOGISTICS LTD,13597796,5112.64
ALLDIGI,ALLDIGI TECH LIMITED,32772,255.59
ALLTIME,ALL TIME PLASTICS LIMITED,163994,465.46
ALMONDZ,ALMONDZ GLOBAL SEC LTD,11279,2.46
ALOKINDS,ALOK INDUSTRIES LIMITED,14796232,2904.72
ALPA,ALPA LABORATORIES LTD,2698,2.97
ALPHA,KOTAKMAMC - KOTAKALPHA,4811090,2377.31
ALPHAETF,MIRAEAMC - ALPHAETF,1756062,444.58
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,5910,15.54
ALPL30IETF,ICICIPRAMC - ICICIALPLV,779546,222.00
AMANTA,AMANTA HEALTHCARE LIMITED,17550,23.07
AMBER,AMBER ENTERPRISES (I) LTD,164867,13076.50
AMBIKCO,AMBIKA COTTON MILL LTD.,14533,221.49
AMBUJACEM,AMBUJA CEMENTS LTD,2194153,12777.79
AMJLAND,AMJ LAND HOLDINGS LIMITED,200,0.12
AMNPLST,AMINES & PLASTICIZERS LTD,1858,5.73
AMRUTANJAN,AMRUTAJAN HEALTH LTD,40895,308.39
ANANDRATHI,ANAND RATHI WEALTH LTD,110369,3179.52
ANANTRAJ,ANANT RAJ LIMITED,9900492,65407.93
ANDHRAPAP,ANDHRA PAPER LIMITED,596084,500.55
ANDHRSUGAR,ANDHRA SUGARS LTD,461668,496.37
ANDREWYU,ANDREW YULE & CO LTD,3900,1.04
ANGELONE,ANGEL ONE LIMITED,922575,24745.02
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,115224,742.20
ANTHEM,ANTHEM BIOSCIENCES LTD,242459,1924.32
ANUHPHR,ANUH PHARMA LIMITED,32760,30.39
ANUP,THE ANUP ENGINEERING LTD,90193,2347.87
ANURAS,ANUPAM RASAYAN INDIA LTD,3692317,36032.32
AONEGOLD,AONEAMC - AONEGOLD,241246,28.59
AONELIQUID,AONEAMC - AONELIQUID,9,0.09
AONENIFTY,AONEAMC - AONENIFTY,39022,3.97
AONETOTAL,AONEAMC - AONETOTAL,111386,13.09
APARINDS,APAR INDUSTRIES LTD.,74900,6237.37
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,28788,121.08
APEX,APEX FROZEN FOODS LIMITED,160515,387.08
APLAPOLLO,APL APOLLO TUBES LTD,266080,4538.25
APLLTD,ALEMBIC PHARMA LTD,204746,2087.18
APOLLO,APOLLO MICRO SYSTEMS LTD,2885558,7445.61
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,60991,4637.38
APOLLOPIPE,APOLLO PIPES LIMITED,392129,1676.66
APOLLOTYRE,APOLLO TYRES LTD,833564,4083.89
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,202,3.47
APTECHT,APTECH LIMITED,118992,164.42
APTUS,APTUS VALUE HSG FIN I LTD,1855551,6052.75
ARCHIDPLY,ARCHIDPLY IND. LTD,1100,1.13
ARE&M,AMARA RAJA ENERGY MOB LTD,1523163,16215.62
ARIES,ARIES AGRO LTD.,105582,417.93
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,405194,428.04
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,173175,734.54
ARISINFRA,ARISINFRA SOLUTIONS LTD,571038,905.25
ARKADE,ARKADE DEVELOPERS LIMITED,2949773,5307.37
ARMANFIN,ARMAN FIN SERV LTD,73596,1174.69
ARROWGREEN,ARROW GREENTECH LIMITED,4660,28.46
ARTEMISMED,ARTEMIS MED SERVICE LTD,197829,503.40
ARVIND,ARVIND LIMITED,1315422,4408.01
ARVINDFASN,ARVIND FASHIONS LIMITED,478093,2519.36
ARVSMART,ARVIND SMARTSPACES LTD,167223,1112.09
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,137863,1213.53
ASAHISONG,ASAHI SONGWON COLOR LTD,1272,3.69
ASAL,AUTOMOTIVE STAMPINGS & AS,34500,204.03
ASALCBR,ASSO ALCOHOLS & BREW LTD,127410,1278.12
ASHAPURMIN,ASHAPURA MINECHEM LTD,1476503,7174.99
ASHIANA,ASHIANA HOUSING LTD,97033,303.93
ASHIMASYN,ASHIMA LTD,3000,0.69
ASHOKA,ASHOKA BUILDCON LTD,4703862,9890.85
ASHOKAMET,ASHOKA METCAST LIMITED,6186,1.07
ASHOKLEY,ASHOK LEYLAND LTD,7896925,10592.12
ASIANENE,ASIAN ENERGY SERVICES LTD,564389,1934.86
ASIANPAINT,ASIAN PAINTS LIMITED,652757,16363.07
ASIANTILES,ASIAN GRANITO IND. LTD.,999366,616.49
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,340845,1740.68
ASMS,BARTRONICS INDIA LIMITED,34163,5.34
ASPINWALL,ASPINWALL & CO LTD,240,0.68
ASTEC,ASTEC LIFESCIENCES LTD,357483,3510.72
ASTERDM,ASTER DM HEALTHCARE LTD.,393190,2449.06
ASTRAL,ASTRAL LIMITED,923186,13936.36
ASTRAMICRO,ASTRA MICROWAVE LTD,2160547,19940.46
ASTRAZEN,ASTRAZENECA PHARMA IND LT,28611,2338.44
ATALREAL,ATAL REALTECH LIMITED,1645493,360.81
ATAM,ATAM VALVES LIMITED,1899,1.86
ATGL,ADANI TOTAL GAS LIMITED,1772614,12174.86
ATHERENERG,ATHER ENERGY LIMITED,704252,4173.69
ATL,ALLCARGO TERMINALS LTD,836000,369.01
ATUL,ATUL LTD,264674,15561.92
ATULAUTO,ATUL AUTO LIMITED,257134,1312.33
AUBANK,AU SMALL FINANCE BANK LTD,590717,4334.66
AURIONPRO,AURIONPRO SOLN LTD,416164,5334.64
AUROPHARMA,AUROBINDO PHARMA LTD,839025,9726.28
AURUM,AURUM PROPTECH LIMITED,265236,485.61
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,26615,492.09
AUTOBEES,NIPPONAMC - NETFAUTO,413458,1128.91
AUTOIETF,ICICIPRAMC - ICICIAUTO,1111826,302.50
AUTOIND,AUTOLINE INDUSTRIES LTD,65208,52.25
AVADHSUGAR,AVADH SUG & ENERGY LTD,231090,1199.86
AVALON,AVALON TECHNOLOGIES LTD,249860,2549.40
AVANTEL,AVANTEL LIMITED,6763816,12209.72
AVANTIFEED,AVANTI FEEDS LIMITED,1156101,8582.95
AVG,AVG LOGISTICS LIMITED,1891,5.20
AVL,ADITYA VISION LIMITED,138358,729.89
AVONMORE,AVONMORE CAP&MGT SERV LTD,13177,2.49
AVROIND,AVRO INDIA LIMITED,1105,1.59
AVTNPL,AVT NATURAL PRODUCTS LTD,44811,41.14
AWFIS,AWFIS SPACE SOLUTIONS LTD,769332,4718.39
AWHCL,ANTONY WASTE HDG CELL LTD,250738,1550.44
AWL,AWL AGRI BUSINESS LIMITED,4156342,11570.77
AXISBANK,AXIS BANK LIMITED,1359528,15789.87
AXISBNKETF,AXISAMC - AXISBNKETF,266,1.53
AXISBPSETF,AXISAMC - AXISBPSETF,1398,0.18
AXISCADES,AXISCADES TECH LTD,430,7.29
AXISCETF,AXISAMC - AXISCETF,13915,17.64
AXISGOLD,AXIS MF - AXIS GOLD ETF,2931098,2937.42
AXISHCETF,AXISAMC - AXISHCETF,4617,6.51
AXISILVER,AXISAMC - AXISILVER,978822,1630.99
AXISNIFTY,AXISAMC - AXISNIFTY,12795,34.80
AXISTECETF,AXISAMC - AXISTECETF,10277,41.26
AXISVALUE,AXISAMC - AXISVALUE,6139,1.82
AXITA,AXITA COTTON LIMITED,52456,6.76
AXSENSEX,AXISAMC - AXSENSEX,1595,1.35
AYMSYNTEX,AYM SYNTEX LIMITED,16055,32.09
AZAD,AZAD ENGINEERING LIMITED,595632,10023.26
BAIDFIN,BAID FINSERV LIMITED,37553,4.64
BAJAJ-AUTO,BAJAJ AUTO LIMITED,362928,32247.76
BAJAJCON,BAJAJ CONSUMER CARE LTD,1905479,4673.80
BAJAJELEC,BAJAJ ELECT.LTD,410767,2471.80
BAJAJFINSV,BAJAJ FINSERV LTD.,653599,13067.02
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,950734,4749.30
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,23318363,27902.38
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,22631346,5734.91
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,65513,8492.10
BAJAJINDEF,INDEF MANUFACTURING LTD,10254,39.47
BAJEL,BAJEL PROJECTS LIMITED,189134,390.85
BAJFINANCE,BAJAJ FINANCE LIMITED,2192279,20562.33
BALAJEE,SHREE TIRUPATI BALAJEE L,105843,57.60
BALAJITELE,BALAJI TELEFILMS LIMITED.,84890,105.76
BALAMINES,BALAJI AMINES LIMITED,255317,4230.25
BALAXI,BALAXI PHARMA LTD,86204,52.32
BALKRISIND,BALKRISHNA IND. LTD,193763,4791.21
BALMLAWRIE,BALMER LAWRIE & CO LTD,1801212,4077.35
BALPHARMA,BAL PHARMA LTD.,2150,1.78
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,975369,5076.90
BALUFORGE,BALU FORGE INDUSTRIES LTD,279754,1829.51
BANARISUG,BANNARI AMMAN SUGARS LTD,494,17.94
BANCOINDIA,BANCO PRODUCTS (I) LTD,492931,3671.31
BANDHANBNK,BANDHAN BANK LIMITED,13541284,23489.96
BANKBARODA,BANK OF BARODA,4970467,12236.98
BANKBEES,NIP IND ETF BANK BEES,409202,2337.48
BANKBETF,BFAM - BANKBETF,10401,5.85
BANKETF,MIRAEAMC - BANKETF,5764,32.60
BANKETFADD,DSPAMC - DSPBANKETF,3849,2.22
BANKIETF,ICICIPRAMC - IPRU5008,265733,151.41
BANKINDIA,BANK OF INDIA,18642606,22155.31
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,11729,66.03
BANKPSU,MIRAEAMC - BANKPSU,10330,7.42
BANSALWIRE,BANSAL WIRE INDUSTRIES L,213160,837.54
BANSWRAS,BANSWARA SYNTEX LIMITED,3608,5.89
BASF,BASF INDIA LTD,167649,8654.39
BASML,BANNARI AM SPIN MILL LTD.,72003,21.38
BATAINDIA,BATA INDIA LTD,336818,4231.54
BAYERCROP,BAYER CROPSCIENCE LTD,64284,3432.92
BBETF0432,EDELAMC - BBETF0432,182,2.34
BBL,BHARAT BIJLEE LTD,104645,3089.80
BBNPNBETF,BARODABNP - BBNPNBETF,0,0.00
BBNPPGOLD,BARODABNP - BBNPPGOLD,26922,32.31
BBOX,BLACK BOX LIMITED,244690,1386.19
BBTC,BOMBAY BURMAH TRADING COR,208481,4073.63
BCLIND,BCL INDUSTRIES LIMITED,1680760,745.91
BCONCEPTS,BRAND CONCEPTS LIMITED,897,4.01
BDL,BHARAT DYNAMICS LIMITED,3869978,65721.19
BEARDSELL,BEARDSELL LIMITED,4001,1.39
BECTORFOOD,MRS BECTORS FOOD SPE LTD,218280,3108.63
BEDMUTHA,BEDMUTHA INDUST LTD,7361,10.61
BEL,BHARAT ELECTRONICS LTD,20450284,78376.92
BELLACASA,BELLA CASA FASH AND RET L,6023,23.47
BELRISE,BELRISE INDUSTRIES LTD,14704016,21487.03
BEML,BEML LIMITED,799368,34832.73
BEPL,BHANSALI ENG. POLYMERS LT,2768098,3264.27
BERGEPAINT,BERGER PAINTS (I) LTD,375598,2084.12
BESTAGRO,BEST AGROLIFE LIMITED,70587,320.23
BFINVEST,BF INVESTMENT LIMITED,105897,564.86
BFSI,MIRAEAMC - MAFSETF,1140883,309.79
BFUTILITIE,BF UTILITIES LIMITED,411683,3273.00
BGRENERGY,BGR ENERGY SYSTEMS LTD,1,0.00
BHAGCHEM,BHAGIRADHA CHEM & INDS L,603905,1760.84
BHAGERIA,BHAGERIA INDUSTRIES LTD,91962,173.05
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,1000,0.97
BHANDARI,BHANDARI HOSIERY EXP LTD,891782,46.17
BHARATFORG,BHARAT FORGE LTD,1156816,14827.24
BHARATGEAR,BHARAT GEARS LTD.,7603,9.57
BHARATRAS,BHARAT RASAYAN LTD,13881,1449.02
BHARATSE,BHARAT SEATS LIMITED,47636,91.97
BHARATWIRE,BHARAT WIRE ROPES LTD.,886333,1938.74
BHARTIARTL,BHARTI AIRTEL LIMITED,593497,11230.42
BHARTIHEXA,BHARTI HEXACOM LIMITED,102713,1865.35
BHEL,BHEL,12502923,30694.42
BIGBLOC,BIGBLOC CONSTRUCTION LTD,78079,71.80
BIKAJI,BIKAJI FOODS INTERN LTD,602620,4650.50
BIOCON,BIOCON LIMITED.,3068711,11363.86
BIRLACABLE,BIRLA CABLE LIMITED,16673,30.06
BIRLACORPN,BIRLA CORPORATION LTD,311662,4068.76
BIRLAMONEY,ADITYA BIRLA MONEY LTD,45036,79.75
BIRLANU,BIRLANU LIMITED,43424,937.81
BLACKBUCK,BLACKBUCK LIMITED,976590,6109.25
BLAL,BEML LAND ASSETS LIMITED,96071,220.17
BLISSGVS,BLISS GVS PHARMA LTD,802226,1295.26
BLKASHYAP,B.L.KASHYAP & SON LTD,695380,485.50
BLS,BLS INTL SERVS LTD,7843950,28963.04
BLSE,BLS E-SERVICES LIMITED,77087,143.71
BLUEDART,BLUE DART EXPRESS LTD,77598,4755.30
BLUEJET,BLUE JET HEALTHCARE LTD,2485504,18494.32
BLUESTARCO,BLUE STAR LIMITED,168577,3186.30
BLUESTONE,BLUESTONE JEWEL LFSTL LTD,570702,4131.97
BLUSPRING,BLUSPRING ENTERPRISES LTD,265366,223.60
BODALCHEM,BODAL CHEMICALS LTD,742730,541.25
BOMDYEING,BOMBAY DYEING & MFG. CO L,6366299,10798.35
BORANA,BORANA WEAVES LIMITED,34875,78.70
BOROLTD,BOROSIL LIMITED,373908,1384.81
BORORENEW,BOROSIL RENEWABLES LTD,1681911,10239.35
BOROSCI,BOROSIL SCIENTIFIC LTD,64495,95.78
BOSCHLTD,BOSCH LIMITED,13607,5344.82
BPCL,BHARAT PETROLEUM CORP  LT,2734035,9041.81
BPL,BPL LTD,71663,59.32
BRIGADE,BRIGADE ENTER. LTD,607502,6409.47
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,183097,155.13
BRITANNIA,BRITANNIA INDUSTRIES LTD,62359,3692.23
BRNL,BHARAT ROAD NETWORK LTD,11907,2.76
BSE,BSE LIMITED,3377161,83442.85
BSE500IETF,ICICIPRAMC - ICICI500,502131,197.06
BSHSL,BOMBAY SUPER HYBRID SEEDS,4158,6.58
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,468036,498.60
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,337159,98.00
BSLSENETFG,BIRLASLAMC - BSLSENETFG,3187,2.67
BSOFT,BIRLASOFT LIMITED,5626117,24071.65
BUTTERFLY,BTRFLY GANDHI APPL LTD,7783,59.38
BYKE,THE BYKE HOSPITALITY LTD,10400,7.36
CAMLINFINE,CAMLIN FINE SCIENCES LTD,1813639,3729.47
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,994291,2865.51
CAMS,COMPUTER AGE MNGT SER LTD,1047170,42380.36
CANBK,CANARA BANK,25437653,28467.18
CANFINHOME,CAN FIN HOMES LTD,481334,3779.40
CANTABIL,CANTABIL RETAIL LTD,1187605,3163.66
CAPACITE,CAPACITE INFRAPROJECT LTD,1747714,5902.79
CAPITALSFB,CAPITAL SMALL FIN BANK L,107672,309.76
CAPLIPOINT,CAPLIN POINT LAB LTD.,121194,2576.00
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,353083,3505.78
CARERATING,CARE RATINGS LIMITED,182510,3143.23
CARRARO,CARRARO INDIA LIMITED,146876,717.58
CARTRADE,CARTRADE TECH LIMITED,919098,21889.61
CARYSIL,CARYSIL LIMITED,227347,2013.40
CASHIETF,ICICIPRAMC - CASHIETF,13,0.13
CASTROLIND,CASTROL INDIA LIMITED,7575042,16503.40
CCCL,CONS. CONST. CONSORT LTD,473320,116.85
CCL,CCL PRODUCTS (I) LTD,147811,1241.51
CDSL,CENTRAL DEPO SER (I) LTD,5399919,86959.20
CEATLTD,CEAT LIMITED,73840,2706.33
CEIGALL,CEIGALL INDIA LIMITED,662029,1802.69
CELLO,CELLO WORLD LIMITED,564316,3493.95
CEMPRO,CEMINDIA PROJECTS LIMITED,931956,6798.26
CENTENKA,CENTURY ENKA LTD,49444,282.69
CENTEXT,CENTURY EXTRUSIONS LTD,13915,4.26
CENTRALBK,CENTRAL BANK OF INDIA,38530098,15953.58
CENTRUM,CENTRUM CAPITAL LIMITED,33880,11.52
CENTUM,CENTUM ELECTRONICS LTD,44618,1139.48
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,112751,913.53
CERA,CERA SANITARYWARE LTD,50760,3370.16
CESC,CESC LTD,5040165,8613.17
CEWATER,CONCORD ENVIRO SYSTEMS L,84678,474.20
CGCL,CAPRI GLOBAL CAPITAL LTD,4803492,8688.56
CGPOWER,CG POWER AND IND SOL LTD,3981036,28109.07
CHALET,CHALET HOTELS LIMITED,175002,1709.86
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,4982495,27303.13
CHEMBOND,CHEMBOND MATERIALTECH LTD,573,3.16
CHEMCON,CHEMCON SPECIAL CHEM LTD,259429,690.92
CHEMFAB,CHEMFAB ALKALIS LIMITED,6799,46.88
CHEMPLASTS,CHEMPLAST SANMAR LIMITED,211032,943.09
CHENNPETRO,CHENNAI PETROLEUM CORP LT,1925381,14493.26
CHEVIOT,CHEVIOT COMPANY LIMITED,1705,22.05
CHOICEIN,CHOICE INTERNATIONAL LTD,1701925,13030.01
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,291090,4642.45
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,94472,1830.05
CIEINDIA,CIE AUTOMOTIVE INDIA LTD,532502,2417.40
CIFL,CAPITAL INDIA FINANCE LTD,38584,14.70
CIGNITITEC,CIGNITI TECHNOLOGIES LTD,59532,904.70
CIPLA,CIPLA LTD,204669,3187.49
CLEAN,CLEAN SCIENCE & TECH LTD,1004054,13161.60
CLEDUCATE,CL EDUCATE LIMITED,1,0.00
CLSEL,CHAMAN LAL SETIA EXP LTD,232661,709.47
CMSINFO,CMS INFO SYSTEMS LIMITED,901429,3693.19
COALINDIA,COAL INDIA LTD,9451888,37489.97
COASTCORP,COASTAL CORPORATION LTD,21542,8.39
COCHINSHIP,COCHIN SHIPYARD LIMITED,2841747,56878.37
COFFEEDAY,COFFEE DAY ENTERPRISE LTD,53053,26.11
COFORGE,COFORGE LIMITED,1068841,18656.88
COHANCE,COHANCE LIFESCIENCES LTD,749041,6828.79
COLPAL,COLGATE PALMOLIVE LTD.,611765,14762.44
COMMOIETF,ICICIPRAMC - ICICICOMMO,59941,54.04
COMPUSOFT,COMPUCOM SOFTWARE LTD,34581,7.46
COMSYN,COMMERCIAL SYN BAGS LTD,1396,2.17
CONCOR,CONTAINER CORP OF IND LTD,3719742,22016.95
CONCORDBIO,CONCORD BIOTECH LIMITED,233182,3982.80
CONFIPET,CONFIDENCE PETRO IND LTD.,4069462,2408.59
CONSOFINVT,CONSO. FIN. & HOLD. LTD.,1663,3.68
CONSUMBEES,NIP IND ETF CONSUMPTION,267365,359.78
CONSUMER,MIRAEAMC - CONSUMER,46435,5.64
CONSUMIETF,ICICIPRAMC - ICICICONSU,60656,74.56
CONTROLPR,CONTROL PRINT LIMITED,56593,450.95
CORDSCABLE,CORDS CABLE INDUS LTD.,6035,11.46
COROMANDEL,COROMANDEL INTERNTL. LTD,266838,6205.53
COSMOFIRST,COSMO FIRST LIMITED,437185,4387.95
CPCAP,CP CAPITAL LIMITED,25,0.10
CPPLUS,ADITYA INFOTECH LIMITED,46190,645.54
CPSEETF,CPSE ETF,3003809,2795.12
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,21728,1322.79
CREATIVE,CREATIVE NEWTECH LIMITED,372034,2552.60
CREDITACC,CREDITACCESS GRAMEEN LTD,427004,5460.94
CREST,CREST VENTURES LIMITED,23186,100.40
CRISIL,CRISIL LTD,78623,4105.83
CRIZAC,CRIZAC LIMITED,1342191,4196.85
CROMPTON,CROMPT GREA CON ELEC LTD,5901617,19035.32
CSBBANK,CSB BANK LIMITED,841286,3185.53
CSLFINANCE,CSL FINANCE LIMITED,8898,27.87
CUB,CITY UNION BANK LTD,1084077,2207.35
CUMMINSIND,CUMMINS INDIA LTD,190155,7386.61
CUPID,CUPID LIMITED,20285550,30184.83
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,4712,10.87
CYIENT,CYIENT LIMITED,782615,10220.65
CYIENTDLM,CYIENT DLM LIMITED,799071,4042.57
DABUR,DABUR INDIA LTD,1702749,8961.57
DALBHARAT,DALMIA BHARAT LIMITED,70572,1580.45
DALMIASUG,DALMIA BHARAT SUG IN LTD,257735,1012.36
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1346481,3367.90
DATAMATICS,DATAMATICS GLOBAL SER LTD,404825,3485.60
DATAPATTNS,DATA PATTERNS INDIA LTD,510042,14210.44
DAVANGERE,DAVANGERE SUGAR COMPANY L,4529152,176.96
DBCORP,D.B.CORP LTD,173150,454.57
DBEIL,DEEPAK BUILDERS & ENG I L,197248,341.52
DBL,DILIP BUILDCON LIMITED,745032,3703.60
DBOL,DHAMPUR BIO ORGANICS LTD,55470,50.48
DBREALTY,VALOR ESTATE LIMITED,4359578,7929.11
DCAL,DISHMAN CARBO AMCIS LTD,391234,1129.36
DCBBANK,DCB BANK LIMITED,5220187,6859.23
DCI,DC INFOTECH AND COMUN LTD,75104,184.75
DCM,DCM LTD,4918,6.51
DCMNVL,DCM NOUVELLE LIMITED,3649,6.49
DCMSHRIRAM,DCM SHRIRAM LIMITED,156234,2033.93
DCMSRIND,DCM SHRIRAM IND LTD,534152,958.47
DCW,DCW LTD,4246390,3280.18
DCXINDIA,DCX SYSTEMS LIMITED,2717405,7638.79
