 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | ENRIN      |         21.46
 2025-12-19 | DIXON      |          5.51
 2025-12-19 | LENSKART   |          3.66
 2025-12-19 | BHEL       |          2.33
 2025-12-19 | NAUKRI     |          0.53
 2025-12-19 | JSWENERGY  |          0.05
 2025-12-19 | HAVELLS    |          0.02
 2025-12-19 | POWERINDIA |          0.01
(8 rows)

